"","barcode","Genotype","line","compartment","plant_height","branch_number","pod_weight_plant","main","pods_plant","pods_branch","weight_pod","first_flowers_DAS","peak_flowers_DAS","flowering_days_to_peak","total_flowering_days","pixel.day_peak","pixel.days_to_peak","total_pixel.days","mean_pixel.days_to_peak","R01_raceme_start","R02_mean_rate","R03_max_rate","R04_DAS_of_max_rate","R05_main_ext_period","R06_50ht_period","R07_75ht_period","R08_50ht_rate","R09_75ht_rate","R10_max_height","R11_max_height_DAS","R12_extension_days_to_max","seed wt_10p_g","seeds_per_pod","TGW_g","BBCH51","BBCH61"
"43","BR024-08113","C2","L4","C5",175,15,4.2,80,145,9,0.028965517,68,81,14,28,15145,64600,147727.5,4614.285714,52.23100694,47.00248815,111.0115637,54.2309838,27.68576837,9.070437543,15.38261149,77.44940602,69.99786745,1797,89.23123843,37.00023148,286,1,2.38,53,72
"44","BR024-08114","C2","L7","C5",155,17,4.4,NA,NA,NA,NA,65,77,13,25,18975,123697.5,212902.5,9515.192308,50.37387731,64.84766417,120.9663982,53.36751157,17.99756421,6.907559682,12.25405357,92.5797285,79.09627571,1619,95.36798611,44.9941088,1350,2,5.63,50,67
"45","BR024-08215","C2","L1","C6",168,15,23.4,NA,NA,NA,NA,62,80,19,43,26995,237390,332032.5,12494.21053,50.53489583,62.81423062,145.9932411,55.53490741,19.4000625,6.672477591,12.54690954,100.2626072,80.69716265,1674,83.53494213,33.0000463,3157,6,5.35,50,67
"46","BR024-08216","C2","L3","C6",145,17,29.8,55,514,29,0.057976654,61,79,19,28,11380,119435,155635,6286.052632,49.64048611,70.28559904,130.9893874,52.64055556,16.10998576,5.468776403,10.80499323,112.9137406,86.92740292,1587,85.64043981,35.9999537,2943,7,4.27,50,64
"47","BR024-08217","C2","L5","C6",150,15,9.3,83,253,16,0.036758893,61,75,15,26,25305,189485,318717.5,12632.33333,48.77284722,69.92008521,141.0179537,52.77237269,17.85323911,6.897046395,12.23822391,100.5502878,85.0000791,1687,98.77296296,50.00011574,1974,4,5.64,50,66
"48","BR024-08218","C2","L5","C6",167,15,2,NA,NA,NA,NA,64,81,18,26,14865,125545,180702.5,6974.722222,51.78996528,50.05419504,116.9553296,55.7902662,28.07556887,8.969375494,16.62183118,87.24130242,70.49463967,1857,86.79033565,35.00037037,453,1,3.78,53,67
"49","BR024-09111","J1","L1","C5",142,14,53.4,32,956,64,0.055857741,46,63,18,38,31460,206535,406691,11474.16667,42.01461806,70.83587361,137.9968056,44.01458333,15.71943626,6.903272438,11.8749349,93.21666004,78.9267485,1475,67.01452546,24.99990741,2636,11,2.49,38,46
"50","BR024-09112","J1","L3","C5",156,4,56.2,NA,NA,NA,NA,53,66,14,27,36641,238326,428751.5,17023.28571,48.13986111,82.29451534,179.9666728,51.13989583,15.62558568,6.657376457,11.88691032,110.1785373,90.75108428,1681,75.14592593,27.00606481,2873,14,2.02,42,53
"51","BR024-09113","J1","L4","C5",150,13,52.6,36,931,67,0.056498389,47,63,17,37,35976,226430,474503.5,13319.41176,43.21652778,45.18188864,150.9615607,45.21648148,26.48848988,8.430726772,14.74967014,80.65734051,68.00152075,1592,82.21640046,38.99987269,3478,15,2.29,39,50
"52","BR024-09114","J1","L5","C5",153,16,52.7,43,984,58,0.053556911,47,63,17,34,43619,261425,540596.5,15377.94118,43.2859838,48.9372156,139.9983796,45.28601852,25.29976389,8.991363681,15.25461705,79.91001426,68.38913073,1599,77.2859838,34,2465,11,2.3,39,48
