plant_id,genotype_name,first_flowers_DAS,peak_flowers_DAS,flowering_days_to_peak,total_flowering_days,flowering_finished,pixel.day_peak,pixel.days_to_peak,total_pixel.days,mean_pixel.days_to_peak
BR024-42111,PH42,77,98,22,29,NO,24735,251201.5,388880,11418.25
BR024-42112,PH42,71,89,19,34,NO,16779,159608.5,300078.5,8400.447368
BR024-42113,PH42,76,95,20,29,NO,25944,254633.5,446102,12731.675
BR024-42114,PH42,77,99,23,28,NO,29467,324102.5,451264.5,14091.41304
BR024-42215,PH42,83,104,22,22,NO,20968,206520,206520,9387.272727
BR024-42216,PH42,81,101,21,24,NO,18926,190949,243631,9092.809524
BR024-42217,PH42,76,94,19,29,NO,25732,233928,450419,12312
BR024-42218,PH42,74,97,24,31,NO,18163,231888.5,340953.5,9662.020833
BR024-43111,PH43,68,88,21,38,NO,41673,404476.5,727593,19260.78571
BR024-43112,PH43,64,85,22,42,NO,38889,379661.5,724046.5,17257.34091
BR024-43113,PH43,75,95,21,30,NO,38396,424160,677885.5,20198.09524
BR024-43114,PH43,63,81,19,38,YES,40105,393483,731516,20709.63158
BR024-43215,PH43,65,88,24,40,NO,31405,364846.5,687663,15201.9375
BR024-43216,PH43,71,89,19,34,NO,32131,294162.5,735658,15482.23684
BR024-43217,PH43,68,89,22,37,NO,38850,432745.5,723950,19670.25
BR024-43218,PH43,79,99,21,26,NO,24736,252567,364644,12027
BR024-44111,PH44,69,89,21,37,NO,27353,258620,575714,12315.2381
BR024-44112,PH44,58,80,23,47,NO,20900,210489,460228.5,9151.695652
BR024-44113,PH44,67,92,26,38,NO,28155,252307.5,504803.5,9704.134615
BR024-44114,PH44,63,90,28,42,NO,11845,170848,280733,6101.714286
BR024-44215,PH44,66,89,24,39,NO,23403,211542.5,486217.5,8814.270833
BR024-44216,PH44,63,81,19,42,NO,22095,198602.5,385294.5,10452.76316
BR024-44217,PH44,61,81,21,44,NO,10725,107320,199941,5110.47619
BR024-44218,PH44,63,88,26,42,NO,15815,208968,344873.5,8037.230769
BR024-45111,PH45,65,82,18,41,NO,20075,172915,389722,9606.388889
BR024-45112,PH45,64,80,17,41,NO,20090,127320.5,282995.5,7489.441176
BR024-45113,PH45,62,78,17,43,NO,8570,64005,159740,3765
BR024-45114,PH45,68,88,21,37,NO,13050,145945,217847.5,6949.761905
BR024-45215,PH45,61,80,20,44,NO,31895,301144,596098.5,15057.2
BR024-45216,PH45,67,85,19,38,NO,14890,115375,218967.5,6072.368421
BR024-45217,PH45,68,85,18,37,NO,13905,95727.5,195315,5318.194444
BR024-45218,PH45,70,94,25,35,NO,14165,127977.5,216862.5,5119.1
BR024-46111,PH46,61,82,22,45,NO,40555,324727.5,747419,14760.34091
BR024-46112,PH46,60,80,21,31,YES,11955,106537.5,143968,5073.214286
BR024-46113,PH46,69,81,13,36,NO,31710,171072.5,568821,13159.42308
BR024-46114,PH46,66,85,20,39,NO,35072,341450.5,692928,17072.525
BR024-46215,PH46,58,72,15,47,NO,24285,136110,486970.5,9074
BR024-46216,PH46,58,75,18,47,NO,24395,214777,502813.5,11932.05556
BR024-46217,PH46,56,71,16,49,NO,19735,167132,308788.5,10445.75
BR024-46218,PH46,60,84,25,45,NO,15095,133101.5,226989,5324.06
BR024-47111,PH47,51,68,18,55,NO,46404,298554,838664.5,16586.33333
BR024-47112,PH47,51,68,18,54,NO,50185,310840,800596.5,17268.88889
BR024-47113,PH47,48,66,19,48,YES,39458,281497,671012.5,14815.63158
BR024-47114,PH47,50,67,18,45,YES,29567,197448,527704,10969.33333
BR024-47215,PH47,48,64,17,57,NO,36487,258952,631458,15232.47059
BR024-47216,PH47,47,64,18,58,NO,36549,250437,650962.5,13913.16667
BR024-47217,PH47,49,67,19,41,YES,33308,271481,629731,14288.47368
BR024-47218,PH47,51,63,13,54,NO,26207,155562,488216.5,11966.30769
BR024-48111,PH48,56,68,13,50,NO,1940,10815,36317.5,831.9230769
BR024-48112,PH48,57,80,24,48,NO,5240,51490,87322.5,2145.416667
BR024-48113,PH48,59,68,10,32,YES,3520,15070,39980,1507
BR024-48114,PH48,58,83,26,46,YES,25350,344707.5,564075.5,13257.98077
BR024-48215,PH48,63,86,24,42,NO,4985,56771.5,117911.5,2365.479167
BR024-48216,PH48,58,70,13,36,YES,17545,100052,320104.5,7696.307692
BR024-48217,PH48,55,67,13,43,YES,12450,70015,231627.5,5385.769231
BR024-48218,PH48,54,72,19,51,NO,6230,54568,124548,2872
BR024-49111,PH49,58,82,25,38,YES,12160,109997.5,190727.5,4399.9
BR024-49112,PH49,54,80,27,51,NO,11500,120395,209711.5,4459.074074
BR024-49113,PH49,53,77,25,52,NO,15775,155487.5,376324,6219.5
BR024-49114,PH49,54,76,23,51,NO,8000,37120,209577.5,1613.913043
BR024-49215,PH49,55,100,46,50,NO,7630,139160,165125,3025.217391
BR024-49216,PH49,55,82,28,50,NO,7360,81497.5,175322.5,2910.625
BR024-49217,PH49,59,80,22,46,NO,8380,80352.5,143622.5,3652.386364
BR024-49218,PH49,60,79,20,45,NO,13905,130670,281136.5,6533.5
