plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-20217,PH20,55.77765046,21.68899347,64.95864901,61.7778125,23.59261165,7.912416667,11.97240934,36.20891215,35.6862172,863,92.77783565,37.00018519
BR024-20218,PH20,46.85891204,31.66260785,88.03668195,48.8562963,20.35524058,4.633353257,11.24061036,75.64715672,47.52855786,1035,84.85680556,37.99789352
BR024-21111,PH21,54.02503472,32.921938,88.99793986,58.02501157,37.02090685,8.989415692,19.14993229,77.20190319,53.36833491,1612,92.02503472,38
BR024-21112,PH21,53.14112269,71.70013701,91.99680567,55.14135417,14.08504979,6.615900872,10.99573018,84.87128372,76.55244227,1421,97.14715278,44.00603009
BR024-21113,PH21,53.21074074,36.31624507,96.0111124,56.21054398,24.55650352,5.951281052,9.528664307,83.84749361,78.13267169,1282,103.2132176,50.00247685
BR024-21114,PH21,54.38798611,73.25717065,88.04279858,58.38769676,7.077805427,4.083102816,6.029100116,74.5756386,72.68912302,835,63.38840278,9.000416667
BR024-21215,PH21,52.58440972,62.51071553,95.01649592,55.58436343,14.78626492,5.838415884,10.58338927,88.63705675,72.9208744,1317,101.6289005,49.04449074
BR024-21216,PH21,53.59590278,41.4324545,94.00870451,57.5959375,22.70201009,6.970697508,18.0701338,77.32368237,43.71854735,1304,104.5961458,51.00024306
BR024-21217,PH21,52.7609375,52.82372159,101.9657754,55.7612963,19.09558754,7.115653935,11.76979836,79.75373805,71.64523759,1403,91.87857639,39.11763889
BR024-21218,PH21,52.86914352,25.8388533,92.00425946,54.86918981,37.67969069,7.700177083,14.39838393,72.7256002,56.8466575,1334,100.8690394,47.99989583
BR024-22111,PH22,61.33064815,78.02136936,145.0218204,68.33075231,20.71355596,8.844086022,15.57922117,101.8194529,86.50945933,2089,88.33112269,27.00047454
BR024-22112,PH22,63.16115741,69.64028118,119.9902786,67.16121528,22.97664474,9.347666292,16.93826901,94.62254774,78.62373654,2089,93.16717593,30.00601852
BR024-22113,PH22,58.26600694,68.7632,115.0106491,63.26614583,21.76309421,9.291804591,15.88026442,89.81032606,78.6038549,1955,95.26622685,37.00021991
BR024-22114,PH22,61.38247685,64.09970266,116.0067134,68.38275463,19.11865343,7.547083152,12.99527225,90.03478381,78.54779648,1665,104.3825116,43.00003472
BR024-22215,PH22,55.58546296,62.45881591,145.9679006,60.5855787,22.97353831,8.191752894,15.2520279,97.96438081,78.53054087,1881,100.5855208,45.00005787
BR024-22216,PH22,63.64825231,81.76458193,243.9520002,69.64833333,16.54506105,6.666770833,12.58326485,110.398275,89.12631285,1842,89.64828704,26.00003472
BR024-22217,PH22,54.72579861,29.70363483,100.0115754,58.72570602,34.30893242,6.140477268,28.87523148,91.76811108,29.37638788,1439,95.7259375,41.00013889
BR024-22218,PH22,59.79357639,53.26720437,121.0448314,63.79346065,23.93968325,7.317689227,16.27301768,95.11199211,65.0155995,1748,93.79387731,34.00030093
BR024-23111,PH23,59.02612269,45.56933529,171,62.02608796,24.41115265,5.554352984,18.66666281,114.1447081,49.98215319,1496,89.02614583,30.00002315
BR024-23112,PH23,61.1084838,45.58024865,131.0136473,64.10857639,25.05032407,6.525622254,12.93768775,97.61521204,73.62212001,1562,99.10872685,38.00024306
BR024-23113,PH23,56.2684375,43.10769075,116.0255149,60.26805556,26.92095029,7.662908741,18.97417483,82.80145588,50.76637107,1615,103.2682755,46.99983796
BR024-23114,PH23,59.3921875,37.6940861,155.9494608,63.3921875,31.36301002,6.109225964,19.910464,112.4528711,50.04905964,1538,104.3917824,44.99959491
BR024-23215,PH23,60.51528935,36.5088683,123.9913895,64.51521991,28.49992477,5.371562422,17.37379651,109.9307713,50.17613734,1425,99.54206019,39.02677083
BR024-23216,PH23,60.65978009,60.45137637,86.97885931,64.66003472,26.58831108,10.19778961,18.66512731,88.30344954,71.91218026,2067,104.6596181,43.99983796
BR024-23217,PH23,57.76604167,81.14334645,188.9825016,62.76638889,17.70570309,6.799063172,12.302427,116.4130969,97.11498389,1913,92.76630787,35.0002662
BR024-23218,PH23,59.78207176,61.7842688,143.9883343,62.78232639,18.04828351,6.131847431,11.94199104,103.6392388,78.31608624,1499,93.78237269,34.00030093
BR024-24111,PH24,57.02722222,24.03684805,47.00108799,57.02722222,34.41799018,14.75801467,24.68057967,29.84818824,27.6431919,1267,105.0271528,47.99993056
BR024-24112,PH24,55.10763889,21.81952668,62.00574127,56.1075463,33.28669823,13.28937865,24.61677251,29.15862435,24.34315871,1147,99.10762731,43.99998843
BR024-24113,PH24,53.27664352,32.33940563,86.99496557,56.27664352,23.29047134,6.209114987,12.67642633,67.32038316,49.5013329,1138,95.27666667,42.00002315
BR024-24114,PH24,54.36872685,28.98839519,76.00263898,55.36869213,25.53090625,7.912541233,19.02946018,53.14348294,32.59419838,1099,95.36956019,41.00083333
BR024-24215,PH24,51.59255787,23.47891976,95.01429613,55.59256944,38.28966618,7.214493221,16.5264492,73.60184336,46.04739899,1220,100.592581,49.00002315
BR024-24216,PH24,53.66761574,34.67470086,90.98946881,57.66802083,22.58418907,7.058520806,14.43286503,63.39855223,45.53842904,1139,101.7081019,48.04048611
