plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-09112,PH09,48.13986111,82.29451534,93.01722541,50.13971065,15.62558568,6.657376457,11.88691032,110.1785373,90.75108428,1681,75.14592593,27.00606481
BR024-09113,PH09,43.21652778,45.18188864,76.00615791,48.2162963,26.48848988,8.430726772,14.74967014,80.65734051,68.00152075,1592,82.21640046,38.99987269
BR024-09114,PH09,43.2859838,48.9372156,81.99335702,47.28622685,25.29976389,8.991363681,15.25461705,79.91001426,68.38913073,1599,77.2859838,34
BR024-09215,PH09,42.59163194,55.53097599,80.9971876,52.59149306,22.97276389,9.240575489,14.81865104,80.35213834,72.59432704,1633,101.6359606,59.0443287
BR024-09216,PH09,43.60905093,55.74598396,87.00604209,46.60918981,19.54759648,8.456305276,14.76943782,72.90417976,61.76606118,1483,76.60873843,32.9996875
BR024-09217,PH09,42.72409722,53.3276155,99.01031357,43.72399306,21.02475405,10.30368257,15.67800678,63.08424155,60.24362748,1478,74.77864583,32.05454861
BR024-09218,PH09,43.8621875,64.99604082,90.03855818,48.86006944,18.04879167,7.540402077,12.4166985,90.9102715,79.75147342,1519,74.87517361,31.01298611
BR024-10111,PH10,52.01565972,58.58968936,85,57.01563657,23.48706769,8.874958044,16.59145657,87.49337137,69.38812124,1799,89.01565972,37
BR024-10112,PH10,50.09584491,60.10760186,96.00111112,51.09583333,21.30678917,7.828263527,14.83497679,93.9544252,72.54814181,1663,89.09618056,39.00033565
BR024-10113,PH10,50.20252315,57.72008472,88.99690983,51.20255787,22.82047933,8.325006366,15.32962687,92.01194165,72.44142402,1678,88.2025,37.99997685
BR024-10114,PH10,53.29415509,51.26514785,84.996065,58.29399306,28.36429936,10.61466511,18.90398019,77.48713609,64.39120165,1879,104.2939352,50.99978009
BR024-10215,PH10,50.58949074,65.86516761,84.01264079,55.58925926,18.04595726,6.058735703,12.65081073,112.0695857,78.84870157,1574,87.58960648,37.00011574
BR024-10216,PH10,49.64596065,56.96423199,90.97788732,54.64596065,21.94183887,7.016118578,14.31075977,101.1242886,73.17920341,1651,89.64607639,40.00011574
BR024-10217,PH10,51.7187037,55.92868366,75.00694509,57.71872685,27.23110755,10.15009838,18.5135961,86.20606099,69.13837773,1920,89.71887731,38.00017361
BR024-10218,PH10,49.88707176,56.6381322,92.00532438,54.88731481,20.78281812,5.904096918,13.43695974,112.7183394,73.32387825,1579,91.85614583,41.96907407
BR024-11111,PH11,41.01680556,74.15872518,96.99663206,45.01686343,17.04182477,6.86201349,12.49237172,100.1163873,83.85117121,1742,67.01675926,25.9999537
BR024-11112,PH11,41.1662037,79.61905759,96.00333345,47.16646991,18.1928805,8.298352141,14.16251217,100.562134,86.01934355,1835,67.16612269,25.99991898
BR024-11113,PH11,41.22909722,74.35316596,93.98694626,47.22927083,19.04021143,7.142880942,13.72232885,111.2296294,86.19163797,1853,69.2287963,27.99969907
BR024-11114,PH11,42.37782407,74.71642849,87.01712142,47.37847222,17.83945013,6.80651649,13.57420383,111.1434904,82.27001851,1741,79.37771991,36.99989583
BR024-11215,PH11,43.59512731,81.68244201,95.98666852,43.59512731,16.180956,6.816531829,11.33465851,105.1121036,96.58429489,1813,75.59508102,31.9999537
BR024-11216,PH11,42.61,76.91965842,95.01099664,42.61,16.31442502,6.720012653,11.92539829,100.3718348,86.97822705,1751,99.62436343,57.01436343
BR024-11217,PH11,40.71672454,80.03268688,89.99062598,50.71657407,18.03388161,8.05003125,13.16431755,100.9312852,91.66825361,1877,102.7166088,61.99988426
BR024-11218,PH11,41.8762037,78.587098,99.93060375,50.87408565,15.45928061,5.949247685,11.53014313,110.0139101,87.14115593,1701,71.88800926,30.01180556
BR024-12111,PH12,42.32709491,20.79198457,95.96889897,44.32744213,49.02369932,10.76821036,26.74700605,53.16575187,31.84468566,1417,95.3277662,53.0006713
BR024-12112,PH12,43.10539352,29.06312565,97.97165172,44.10568287,29.19162963,6.224735243,15.97995394,76.79041459,44.39937705,1226,92.10547454,49.00008102
BR024-12113,PH12,43.27320602,27.78056327,99.00114585,44.27319444,29.67182458,5.49099568,15.62495081,84.04668786,44.04813867,1207,89.27332176,46.00011574
BR024-12114,PH12,44.39033565,29.97539358,88.97940292,46.39039352,24.68357915,7.327608631,14.78026223,56.1574752,41.72794708,1121,79.38925926,34.99892361
BR024-12215,PH12,42.52798611,31.65026184,97.98865872,44.52826389,26.84653935,7.577959346,20.21141226,64.99111139,35.41316118,1193,81.52795139,38.99996528
BR024-12216,PH12,43.59737269,38.64543439,96.00333345,46.5975,24.23313426,8.974628762,15.55116217,61.33958458,50.91259362,1265,89.59711806,45.99974537
