barcode,code,code genotype long,line,compartment,ph,bn,pw,main,pnp,pb,wp
BR024-26114,PH26,PH26 Brassica 6x,L7,C5,138,12,41.1,74,701,54,0.058630528
BR024-26215,PH26,PH26 Brassica 6x,L2,C6,155,10,24,,,,
BR024-26216,PH26,PH26 Brassica 6x,L3,C6,129,14,36.8,,,,
BR024-26217,PH26,PH26 Brassica 6x,L4,C6,145,14,31.1,29,741,49,0.04197031
BR024-26218,PH26,PH26 Brassica 6x,L5,C6,133,12,34.6,168,820,63,0.042195122
BR024-27111,PH27,PH27 Brassica 6x,L1,C5,164,17,39.9,,,,
BR024-27112,PH27,PH27 Brassica 6x,L3,C5,150,14,35.2,39,434,29,0.081105991
BR024-27113,PH27,PH27 Brassica 6x,L4,C5,155,17,28.2,96,691,38,0.04081042
BR024-27114,PH27,PH27 Brassica 6x,L5,C5,150,15,38.3,,,,
BR024-27215,PH27,PH27 Brassica 6x,L2,C6,138,20,36.7,107,780,37,0.047051282
BR024-27216,PH27,PH27 Brassica 6x,L3,C6,164,16,40.9,,,,
BR024-27217,PH27,PH27 Brassica 6x,L4,C6,125,16,44.3,127,650,38,0.068153846
BR024-27218,PH27,PH27 Brassica 6x,L7,C6,150,12,37.9,,,,
BR024-28111,PH28,PH28 Brassica 6x,L1,C5,102,8,19.9,31,508,56,0.039173228
BR024-28112,PH28,PH28 Brassica 6x,L2,C5,156,15,14.9,,,,
BR024-28113,PH28,PH28 Brassica 6x,L3,C5,130,12,9.8,NA,1192,92,0.008221477
BR024-28114,PH28,PH28 Brassica 6x,L5,C5,168,13,53.8,,,,
BR024-28215,PH28,PH28 Brassica 6x,L1,C6,133,19,43.8,38,991,50,0.04419778
BR024-28216,PH28,PH28 Brassica 6x,L3,C6,124,13,42.4,,,,
BR024-28217,PH28,PH28 Brassica 6x,L4,C6,165,11,66.3,,,,
BR024-28218,PH28,PH28 Brassica 6x,L7,C6,140,13,29.3,56,638,46,0.045924765
BR024-29111,PH29,PH29 Brassica 6x,L1,C5,137,9,18.7,,,,
BR024-29112,PH29,PH29 Brassica 6x,L2,C5,182,5,30.3,36,658,110,0.046048632
BR024-29113,PH29,PH29 Brassica 6x,L4,C5,146,9,27.8,,,,
BR024-29114,PH29,PH29 Brassica 6x,L5,C5,134,6,14.6,78,611,87,0.023895254
BR024-29215,PH29,PH29 Brassica 6x,L1,C6,137,9,23.2,8,574,57,0.040418118
BR024-29216,PH29,PH29 Brassica 6x,L2,C6,147,8,28,,,,
BR024-29217,PH29,PH29 Brassica 6x,L4,C6,136,7,30.5,55,725,91,0.042068966
BR024-29218,PH29,PH29 Brassica 6x,L7,C6,172,8,20.3,,,,
BR024-30111,PH30,PH30 Hex1,L1,C5,189,10,20.7,53,647,59,0.031993818
BR024-30112,PH30,PH30 Hex1,L3,C5,171,12,19.1,,,,
BR024-30113,PH30,PH30 Hex1,L4,C5,155,14,19.1,,,,
BR024-30114,PH30,PH30 Hex1,L7,C5,167,10,17.1,60,832,76,0.020552885
BR024-30215,PH30,PH30 Hex1,L1,C6,163,14,23.4,65,907,60,0.025799338
BR024-30216,PH30,PH30 Hex1,L2,C6,138,12,26.3,,,,
BR024-30217,PH30,PH30 Hex1,L4,C6,175,12,36.8,67,1161,89,0.031696813
BR024-30218,PH30,PH30 Hex1,L7,C6,151,16,38,,,,
BR024-31111,PH31,PH31 Hex2,L1,C5,171,17,39,32,731,41,0.053351573
BR024-31112,PH31,PH31 Hex2,L3,C5,193,20,42.5,53,959,46,0.044316997
BR024-31113,PH31,PH31 Hex2,L4,C5,147,19,34.6,,,,
BR024-31114,PH31,PH31 Hex2,L7,C5,136,17,41.6,,,,
BR024-31215,PH31,PH31 Hex2,L2,C6,185,19,34.4,20,702,35,0.049002849
BR024-31216,PH31,PH31 Hex2,L3,C6,154,21,31.5,2,676,31,0.046597633
BR024-31217,PH31,PH31 Hex2,L5,C6,138,15,26.3,,,,
BR024-31218,PH31,PH31 Hex2,L7,C6,149,17,45.4,,,,
BR024-32111,PH32,PH32 F1,L1,C5,198,14,40.5,60,883,59,0.045866365
BR024-32112,PH32,PH32 F1,L2,C5,139,16,29.3,,,,
BR024-32113,PH32,PH32 F1,L4,C5,222,15,11.1,8,543,34,0.020441989
BR024-32114,PH32,PH32 F1,L5,C5,198,15,40,,,,
BR024-32215,PH32,PH32 F1,L1,C6,191,13,40.4,67,709,51,0.056981664
BR024-32216,PH32,PH32 F1,L3,C6,159,17,44.8,,,,
BR024-32217,PH32,PH32 F1,L5,C6,192,15,44.1,53,772,48,0.057124352
BR024-32218,PH32,PH32 F1,L7,C6,165,17,13.1,,,,
BR024-33111,PH33,PH33 F1,L1,C5,198,8,27.4,17,550,61,0.049818182
BR024-33112,PH33,PH33 F1,L2,C5,169,7,32.6,,,,
BR024-33113,PH33,PH33 F1,L4,C5,114,12,6.9,16,327,25,0.021100917
BR024-33114,PH33,PH33 F1,L7,C5,148,11,19.9,,,,
BR024-33215,PH33,PH33 F1,L1,C6,150,8,18.8,,,,
BR024-33216,PH33,PH33 F1,L3,C6,165,8,17,,,,
BR024-33217,PH33,PH33 F1,L4,C6,182,11,22.6,19,804,67,0.028109453
BR024-33218,PH33,PH33 F1,L5,C6,185,8,33.87,32,512,57,0.066152344
BR024-34111,PH34,PH34 F1,L1,C5,166,11,38.6,76,1127,94,0.034250222
BR024-34112,PH34,PH34 F1,L3,C5,163,13,23.5,,,,
BR024-34113,PH34,PH34 F1,L5,C5,160,11,30.4,,,,
BR024-34114,PH34,PH34 F1,L7,C5,181,7,37.4,83,637,80,0.058712716
BR024-34215,PH34,PH34 F1,L2,C6,153,11,46.1,61,1078,90,0.042764378
BR024-34216,PH34,PH34 F1,L3,C6,195,9,32.9,,,,
BR024-34217,PH34,PH34 F1,L4,C6,175,9,42,,,,
BR024-34218,PH34,PH34 F1,L5,C6,152,12,41.9,66,1074,83,0.039013035
BR024-35111,PH35,PH35 Hex1,L1,C5,118,10,15.4,,,,
BR024-35112,PH35,PH35 Hex1,L3,C5,89,13,7.1,8,369,26,0.019241192
BR024-35113,PH35,PH35 Hex1,L5,C5,124,14,26.1,122,831,55,0.031407942
BR024-35114,PH35,PH35 Hex1,L7,C5,104,13,16.6,,,,
BR024-35215,PH35,PH35 Hex1,L2,C6,134,11,29,66,825,69,0.035151515
BR024-35216,PH35,PH35 Hex1,L2,C6,115,9,25.8,,,,
BR024-35217,PH35,PH35 Hex1,L4,C6,118,15,8.2,14,398,25,0.020603015
BR024-35218,PH35,PH35 Hex1,L7,C6,148,10,12,,,,
BR024-36111,PH36,PH36 Hex2,L1,C5,180,22,45.9,,,,
BR024-36112,PH36,PH36 Hex2,L2,C5,156,22,57,81,1049,46,0.054337464
BR024-36113,PH36,PH36 Hex2,L4,C5,172,24,53.6,,,,
BR024-36114,PH36,PH36 Hex2,L7,C5,163,21,46.9,92,1054,48,0.044497154
BR024-36215,PH36,PH36 Hex2,L1,C6,170,19,45.7,,,,
