code;location;barcode;L;C5;juvenile colour;BBCH51;BBCH61
PH22;1;BR024-22112;L3;C5;P;60;
PH22;1;BR024-22113;L5;C5;G;55;68
PH22;1;BR024-22111;L6;C5;G;64;75
PH22;1;BR024-22114;L7;C5;G;58;76
PH22;2;BR024-22215;L2;C6;G;53;66
PH22;2;BR024-22216;L3;C6;G;61;75
PH22;2;BR024-22217;L4;C6;G;50;70
PH22;2;BR024-22218;L5;C6;G;53;67
PH23;1;BR024-23111;L1;C5;P;55;66
PH23;1;BR024-23112;L2;C5;P;56;72
PH23;1;BR024-23113;L5;C5;P;53;64
PH23;1;BR024-23114;L7;C5;P;55;67
PH23;2;BR024-23215;L1;C6;P;56;67
PH23;2;BR024-23216;L3;C6;P;58;
PH23;2;BR024-23217;L5;C6;P;56;64
PH23;2;BR024-23218;L5;C6;P;56;64
PH24;1;BR024-24111;L1;C5;P;50;63
PH24;1;BR024-24112;L2;C5;P;46;57
PH24;1;BR024-24113;L5;C5;P;48;63
PH24;1;BR024-24114;L7;C5;P;50;66
PH24;2;BR024-24215;L2;C6;P;48;60
PH24;2;BR024-24216;L3;C6;P;49;62
PH24;2;BR024-24217;L4;C6;P;53;64
PH24;2;BR024-24218;L7;C6;P;48;63
PH25;1;BR024-25111;L1;C5;G;48;64
PH25;1;BR024-25112;L3;C5;G;49;63
PH25;1;BR024-25113;L4;C5;G;53;66
PH25;1;BR024-25114;L5;C5;G;48;62
PH25;2;BR024-25215;L1;C6;G;48;60
PH25;2;BR024-25216;L3;C6;G;46;59
PH25;2;BR024-25217;L5;C6;G;48;61
PH25;2;BR024-25218;L5;C6;G;46;60
PH26;1;BR024-26111;L1;C5;P;39;59
PH26;1;BR024-26112;L2;C5;P;39;52
PH26;1;BR024-26113;L4;C5;P;40;53
PH26;1;BR024-26114;L7;C5;P;39;52
PH26;2;BR024-26215;L2;C6;P;38;48
PH26;2;BR024-26216;L3;C6;P;40;53
PH26;2;BR024-26217;L4;C6;P;39;50
PH26;2;BR024-26218;L5;C6;P;39;50
PH27;1;BR024-27111;L1;C5;P;51;66
PH27;1;BR024-27112;L3;C5;P;53;64
PH27;1;BR024-27113;L4;C5;P;54;67
PH27;1;BR024-27114;L5;C5;G;53;67
PH27;2;BR024-27215;L2;C6;P;50;64
PH27;2;BR024-27216;L3;C6;P;53;66
PH27;2;BR024-27217;L4;C6;P;48;58
PH27;2;BR024-27218;L7;C6;P;53;65
PH28;1;BR024-28111;L1;C5;G;39;50
PH28;1;BR024-28112;L2;C5;G;41;53
PH28;1;BR024-28123;L3;C5;G;40;50
PH28;1;BR024-28114;L5;C5;G;48;60
PH28;2;BR024-28215;L1;C6;G;43;55
PH28;2;BR024-28216;L3;C6;G;42;55
PH28;2;BR024-28217;L4;C6;G;36;46
PH28;2;BR024-28218;L7;C6;G;46;53
PH29;1;BR024-29111;L1;C5;G;39;52
PH29;1;BR024-29112;L2;C5;G;46;57
PH29;1;BR024-29113;L4;C5;G;46;61
PH29;1;BR024-29114;L5;C5;G;48;62
PH29;2;BR024-29215;L1;C6;G;46;55
PH29;2;BR024-29216;L2;C6;G;46;58
PH29;2;BR024-29217;L4;C6;G;42;59
PH29;2;BR024-29218;L7;C6;G;41;57
PH30;1;BR024-30111;L1;C5;P;56;67
PH30;1;BR024-30112;L3;C5;P;55;67
